id,nombre,departamento,latitud,longitud,poblacion2022,superficieKm2,densidad,queryUsada,slug,displayName
loc-45,El Cercado,Monteros,-27.179291,-65.556941,963,3.601000,267.426000,"El Cercado, Monteros, Tucuman, Argentina",el-cercado,"El Cercado, Municipio de El Cercado, Departamento Monteros, Tucumán, T4142, Argentina"
loc-46,El Cevilar,Cruz Alta,-26.978481,-65.159204,107,2.073000,51.616000,"El Cevilar, Cruz Alta, Tucuman, Argentina",el-cevilar,"El Cevilar, Municipio de El Bracho y El Cavilar, Departamento Cruz Alta, Tucumán, T4178, Argentina"
loc-47,El Chanar,Burruyacu,-26.758254,-65.068679,4517,1.772000,2549.097000,"El Chanar, Burruyacu, Tucuman, Argentina",el-chanar,"Municipio de El Chañar, Departamento Burruyacú, Tucumán, T4119, Argentina"
loc-48,El Corralito,La Cocha,-27.618096,-65.711186,616,4.274000,144.127000,"El Corralito, La Cocha, Tucuman, Argentina",el-corralito,"El Corralito, Municipio de Yánima, Departamento La Cocha, Tucumán, Argentina"
loc-49,El Empalme,Cruz Alta,-26.993496,-64.999913,541,6.556000,82.520000,"El Empalme, Cruz Alta, Tucuman, Argentina",el-empalme,"El Empalme, Municipio de Ranchillos y San Miguel, Departamento Cruz Alta, Tucumán, T4178, Argentina"
loc-50,El Empalme,Cruz Alta,-26.993496,-64.999913,905,1.150000,786.957000,"El Empalme, Cruz Alta, Tucuman, Argentina",el-empalme,"El Empalme, Municipio de Ranchillos y San Miguel, Departamento Cruz Alta, Tucumán, T4178, Argentina"
loc-51,El Manantial,Lules,-26.846456,-65.284151,21053,67.180000,313.382000,"El Manantial, Lules, Tucuman, Argentina",el-manantial,"El Manantial, Departamento Lules, Tucumán, T4128, Argentina"
loc-52,El Molino,Chicligasta,-27.336520,-65.693355,1242,8.721000,142.415000,"El Molino, Chicligasta, Tucuman, Argentina",el-molino,"El Molino, Municipio de Alpachiri y El Molino, Departamento Chicligasta, Tucumán, T4149, Argentina"
loc-53,El Mollar,Tafi del Valle,-26.939777,-65.709013,4613,13.830000,333.550000,"El Mollar, Tafi del Valle, Tucuman, Argentina",el-mollar,"Municipio de El Mollar, Departamento Tafí del Valle, El Mollar, Tucumán, Argentina"
loc-54,El Naranjito,Cruz Alta,-26.993276,-65.063503,477,9.173000,52.000000,"El Naranjito, Cruz Alta, Tucuman, Argentina",el-naranjito,"Municipio de El Naranjito, Departamento Cruz Alta, Tucumán, T4178, Argentina"
loc-55,El Naranjo,Burruyacu,-26.661969,-65.049088,396,2.459000,161.041000,"El Naranjo, Burruyacu, Tucuman, Argentina",el-naranjo,"Municipio de El Naranjo y El Sunchal, Departamento Burruyacú, Tucumán, T4119, Argentina"
loc-56,El Polear,Rio Chico,-27.497167,-65.566542,650,1.869000,347.780000,"El Polear, Rio Chico, Tucuman, Argentina",el-polear,"El Polear, Municipio de El Polear, Departamento Río Chico, Tucumán, T4153, Argentina"
loc-57,El Porvenir,Leales,-27.399070,-65.520219,587,1.054000,556.926000,"El Porvenir, Tucuman, Argentina",el-porvenir,"El Porvenir, Municipio de Medinas, Departamento Chicligasta, Tucumán, T4174, Argentina"
loc-58,El Puestito,Burruyacu,-26.433710,-64.752530,316,3.579000,88.293000,"El Puestito, Burruyacu, Tucuman, Argentina",el-puestito,"El Puestito, Municipio de El Puestito, Departamento Burruyacú, Tucumán, T4119, Argentina"
