Nombre;Departamento;Poblacion Censo 1991-05-15;Poblacion Censo 2001-11-17;Poblacion Censo 2010-10-27;Poblacion Censo 2022-05-18;% CT ano a ano (1991-2022);Superficie en km2;Densidad de poblacion km2
Tacanas;Leales;...;...;...;647;0;9.472;68.307
Taco Ralo;Graneros;984;122;1241;1595;-0.03220577629163388;1.411;1130.404
Tafi del Valle;Tafi del Valle;2504;33;3403;7901;0.06952746573224776;23.97;329.620
Tafi Viejo (incl. Diagonal Norte, Barrio Lomas de Tafi, Barrio Parada 14, Barrio U.T.A. II, Villa Las Flores);Tafi Viejo;36117;46356;53971;85043;0.04369848172650357;21.37;3979.551
Tapia;Trancas;...;...;...;1117;0;3.752;297.708
Taruca Pampa;Burruyacu;...;...;...;1276;0;1.57;812.739
Teniente Berdina;Monteros;474;730;907;1254;-0.032172723560636995;1.254;1000.000
Timbo Nuevo;Burruyacu;...;...;...;449;0;1.95;230.256
Timbo Viejo;Burruyacu;...;...;...;543;0;4.638;117.076
Villa Belgrano;Juan Bautista Alberdi;1047;1085;1205;1946;0.027698185291308502;2.974;654.338
Villa Benjamin Araoz;Burruyacu;556;1099;1409;2262;-0.0321268275702019;3.723;607.575
Villa Burruyacu;Burruyacu;966;177;2168;2972;-0.03215881920790757;1.011;2939.664
Villa Chicligasta;Simoca;249;231;291;1427;-0.03207319600984584;2.687;531.076
Villa Clodomiro Hileret;Rio Chico;642;702;699;1322;-0.03219163903125314;9.991;132.319
Villa de Leales;Leales;812;123;1237;289;-0.03214325440966153;1.831;157.837
Villa de Trancas;Trancas;2103;3391;4429;7151;0.07743162609482612;2.741;2608.902
"Villa Fiad (- Ingenio Leales; incl. Pala Pala)";Leales;2511;3195;3459;5261;0.03532842589380917;4.196;1253.813
Villa Nougues;Lules;...;...;...;115;0;4.044;28.437
Villa Padre Monti;Burruyacu;...;169;200;393;#VALUE!;8.319;47.241
Villa Quinteros;Monteros;2997;3646;424;6826;0.04121325626701971;3.271;2086.824
Villa Regina;Leales;...;...;...;861;0;7.722;111.500
Villa San Javier;Yerba Buena;...;...;...;833;0;4.673;178.258
Vipos;Trancas;...;...;...;51;0;4.21;12.114
Yanima;La Cocha;...;...;...;400;0;2.824;141.643
Yerba Buena;Lules;...;...;...;2314;0;1.098;2107.468
Yerba Buena (- Marcos Paz);Yerba Buena;34901;50827;59095;7924;0.0409813564820677;30.78;257.440
Zavalia;Monteros;...;...;...;402;0;5.464;73.572
